"","Var1","01apr2016","01aug2015","01dec2015","01feb2016","01jan2016","01mar2016","01nov2015","01oct2015","01sep2015","sum","Population","perc"
"1","RAHABAH",4,16,11,7,9,2,13,13,16,91,7441,0.0122295390404516
"2","AL GHAYDAH",37,12,31,30,30,40,31,31,30,272,27404,0.00992555831265509
"3","ATAQ",38,13,43,40,40,33,40,36,19,302,37315,0.00809326008307651
"4","SA'ADAH",55,12,54,59,51,68,59,53,27,438,58695,0.00746230513672374
"5","BART AL ANAN",73,4,58,62,48,63,56,45,31,440,59463,0.00739955938987269
"6","AL BAYDA CITY",19,9,28,11,33,18,32,33,34,217,29853,0.00726895119418484
"7","AL  HAWTAH",26,5,22,22,18,24,26,24,6,173,25881,0.00668444032301688
"8","AL MAHWAIT CITY",9,17,15,13,21,11,14,19,12,131,20134,0.00650640707261349
"9","MARIB CITY",26,5,27,28,38,24,26,20,10,204,32143,0.00634663845938462
"10","RADA'",47,10,35,43,37,44,42,44,37,339,56382,0.0060125571991061
"11","AL MUKALLA",20,5,7,23,8,16,8,5,5,97,16748,0.00579173632672558
"12","SHAHAN",1,1,4,3,3,1,2,1,1,17,3152,0.00539340101522843
"13","ASH SHAMAYATAYN",15,11,17,16,21,17,18,15,11,141,26790,0.00526315789473684
"14","AS SAID",20,5,24,16,24,16,25,20,13,163,35034,0.00465262316606725
"15","MUDIYAH",26,4,20,15,18,25,21,18,12,159,34879,0.00455861693282491
"16","ZINGIBAR",12,3,16,14,14,12,16,16,6,109,25524,0.00427049051872747
"17","AZ ZAHIR",6,8,12,8,20,12,16,10,10,102,24884.5,0.00409893708935281
"18","HARIB AL QARAMISH",3,4,7,1,9,0,1,4,5,34,8573,0.00396593957774408
"19","BIDBADAH",6,5,8,7,10,8,10,9,7,70,18214,0.00384319754035357
"20","AL JUBAH",13,5,7,9,7,13,9,7,4,74,21093,0.00350827288673968
"21","AD DHALE'E",35,9,34,41,38,37,31,31,24,280,80213,0.00349070599528755
"22","RADFAN",20,6,24,20,20,15,19,20,6,150,45570,0.0032916392363397
"23","HAJJAH CITY",13,15,28,13,34,14,17,22,15,171,53887,0.00317330710560989
"24","SIRWAH",8,9,7,5,7,6,7,7,7,63,19939,0.00315963689252219
"25","TUBAN",30,5,38,37,39,32,38,34,10,263,83444,0.00315181439048943
"26","AL GHAYL",3,2,3,4,5,4,5,3,3,32,10436,0.00306630893062476
"27","SAHAR",60,19,54,45,60,55,42,47,21,403,133060,0.00302870885314896
"28","HALIMAYN",17,3,7,16,10,18,7,6,0,84,27871,0.0030138854005956
"29","AMRAN",35,23,28,36,34,35,27,24,23,265,96375,0.0027496757457847
"30","SHIBAM KAWKABAN",15,8,14,12,14,11,14,12,7,107,39163,0.00273217067129689
"31","DAMT",21,17,15,14,13,22,22,21,21,166,60944,0.00272381202415332
"32","AS SALIF",2,2,2,1,2,4,2,1,1,17,6343,0.00268011981712124
"33","AL HUSSEIN",10,8,10,11,10,9,12,14,12,96,37118,0.00258634624710383
"34","AR RUJUM",23,17,24,25,26,25,20,21,13,194,75708,0.00256247688487346
"35","AL JABIN",19,8,20,23,23,24,24,22,16,179,71777,0.00249383507251627
"36","JAHAF",8,2,8,5,6,6,10,6,6,57,22897,0.00248940909289427
"37","AT TA'IZIYAH",30,17,27,38,35,32,32,35,26,272,109814,0.00247691551168339
"38","SANHAN",27,20,27,27,22,20,26,21,9,199,80399,0.00247515516362144
"39","DHAMAR CITY",53,31,46,55,56,51,53,43,42,430,175159,0.00245491239388213
"40","OLD CITY",9,14,12,7,15,19,29,19,30,154,63398,0.00242909870973848
"41","AL ABR",0,0,2,1,1,1,1,1,1,8,3348,0.002389486260454
"42","HARIB",13,1,6,16,5,15,9,7,8,80,33663,0.00237649645010843
"43","QISHN",2,1,4,4,4,2,3,4,2,26,11441,0.00227252862512018
"44","KHANFIR",29,3,32,39,34,30,33,34,13,247,109044,0.00226514067715784
"45","BAYHAN",17,8,9,11,12,13,13,14,10,107,48347,0.00221316731131197
"46","MARIB",17,3,4,18,5,26,1,4,6,84,39495,0.0021268515001899
"47","MAQBANAH",18,13,12,14,15,18,14,15,13,132,62471,0.00211298042291623
"48","AL HAJJAYLAH",2,2,1,1,1,5,4,2,2,20,9694,0.0020631318341242
"49","RAGHWAN",0,1,1,0,1,0,3,1,2,9,4391,0.00204964700523799
"50","JUBAN",5,3,12,9,9,7,13,13,15,86,42397,0.00202844540887327
"51","BILAD AT TA'AM",10,3,7,7,8,8,9,8,3,63,31143,0.00202292650033715
"52","HAJJAH",16,3,0,21,0,13,1,1,4,59,29533,0.00199776521179697
"53","AS SAFRA",17,3,12,17,12,12,10,9,9,101,50845,0.00198642934408496
"54","AL HAZM",3,1,13,8,5,4,9,12,6,61,30952,0.00197079348668907
"55","AL  MUKHA",5,6,1,3,4,5,2,2,7,35,18155,0.00192784356926467
"56","KHWLAN",2,4,8,10,8,5,11,4,2,54,28925,0.00186689714779602
"57","JARDAN",2,2,5,4,3,2,4,5,3,30,16270,0.00184388444990781
"58","BANI SURAIM",5,5,7,6,7,7,9,8,6,60,32698,0.00183497461618448
"59","HAMDAN",18,20,16,17,16,15,18,20,14,154,85370,0.00180391238139862
"60","AL KHABT",15,9,12,11,11,14,14,12,17,115,64033,0.00179594896381553
"61","AL MAQATIRAH",14,2,13,13,14,12,13,14,3,98,54613,0.00179444454617033
"62","SAYHUT",1,1,3,3,5,1,3,2,2,21,11746,0.00178784266984505
"63","NISAB",11,1,9,7,11,8,8,11,8,74,42050,0.00175980975029727
"64","AL WADE'A",1,4,0,0,0,0,12,14,10,41,23400,0.00175213675213675
"65","JABAL MURAD",3,3,1,1,1,1,3,3,2,18,10280,0.00175097276264591
"66","BANI AL HARITH",29,23,42,45,39,30,38,38,38,322,184509,0.00174517232221734
"67","SHADA'A",3,2,1,2,2,0,4,3,2,19,11202,0.00169612569184074
"68","USAYLAN",0,2,9,11,7,12,4,5,3,53,31518,0.00168157878037947
"69","KHUR MAKSAR",11,6,8,9,10,12,10,8,5,79,47044,0.00167927897287646
"70","HABBAN",8,2,4,6,4,6,7,7,6,50,29846,0.00167526636735241
"71","AS SALAFIYAH",18,8,17,20,20,16,15,11,13,138,82540,0.00167191664647444
"72","AL HUSHA",17,5,13,10,12,14,10,11,8,100,60178,0.00166173684735285
"73","AL MASILAH",1,1,2,2,2,1,2,3,3,17,10404,0.00163398692810458
"74","JABAL HABASHY",6,10,3,0,1,4,4,5,7,40,24544,0.00162972620599739
"75","AL QURAISHYAH",6,2,8,5,9,6,8,3,1,48,29525,0.00162574089754445
"76","DIMNAT KHADIR",8,9,12,11,10,6,8,8,9,81,49832,0.00162546155081072
"77","BANI MATAR",18,14,22,18,19,21,18,17,13,160,100012,0.00159980802303724
"78","KHAMIR",13,10,16,15,12,11,15,13,11,116,73225,0.00158415841584158
"79","AR RAWDAH",6,3,1,7,4,10,1,7,4,43,27371,0.00157100580906799
"80","KHARIF",6,5,6,8,10,7,10,10,6,68,45977,0.00147900036975009
"81","MERKHAH AS SUFLA",7,4,8,10,10,10,6,3,2,60,40635,0.0014765596160945
"82","AHWAR",4,2,4,5,5,2,4,5,6,37,25246,0.00146557870553751
"83","SABAH",6,0,4,4,5,5,5,5,5,39,27472,0.00141962725684333
"84","RAYDAH",10,4,7,8,6,7,8,8,8,66,46631,0.00141536745941541
"85","NA'MAN",1,0,1,3,2,1,1,1,3,13,9252,0.00140510159965413
"86","AL HASHWAH",0,3,2,3,0,1,3,4,4,20,14274,0.00140114894213255
"87","AL QAF",0,0,0,0,1,0,0,2,0,3,2145,0.0013986013986014
"88","AL HALI",24,18,33,31,26,24,29,25,21,231,168071,0.00137441914429021
"89","QA'ATABAH",16,8,15,17,18,16,13,12,10,125,91206,0.0013705238690437
"90","BANI HUSHAYSH",13,8,10,13,13,13,12,11,7,100,73957,0.00135213705261165
"91","MAJZAR",1,3,3,1,0,1,1,2,2,14,10477,0.00133626037987974
"92","YAFA'A",12,11,9,10,10,13,10,11,13,99,75014,0.00131975364598608
"93","AL BAYDA",12,1,9,18,0,10,1,2,0,53,40289,0.00131549554468962
"94","KUSMAH",12,7,13,11,10,12,10,13,7,95,74622,0.00127308300501193
"95","AL A'RSH",8,2,8,4,8,7,6,7,8,58,45773,0.00126712253948834
"96","AL JAFARIYAH",8,9,10,9,11,8,10,12,11,88,69705,0.00126246323793128
"97","MABYAN",5,5,9,6,7,6,7,11,8,64,50732,0.00126153118347394
"98","HUFASH",3,4,4,7,5,6,6,6,6,47,37884,0.00124062928940978
"99","JAHRAN",14,7,14,14,12,15,15,9,7,107,86590,0.00123570851137545
"100","AL MATON",2,2,6,4,4,3,5,6,3,35,28411,0.00123191721516314
"101","AL WAHDAH",13,10,13,13,9,15,16,18,16,123,99956,0.00123054143823282
"102","AT TAWILAH",9,7,7,8,5,8,10,8,10,72,58862,0.00122320002718222
"103","AL MANSURA",17,12,17,24,17,14,12,14,13,140,114931,0.00121812217765442
"104","RUDUM",6,2,3,3,3,3,3,2,3,28,23244,0.00120461194286698
"105","MAYFA'A",8,1,6,6,5,6,6,7,5,50,41597,0.00120200976031925
"106","AL MINA",18,9,9,9,9,19,13,14,10,110,91843,0.00119769606829045
"107","ASH SHAIKH OUTHMAN",16,16,9,14,9,17,14,16,14,125,105248,0.00118767102462755
"108","ANSS",11,21,15,16,17,11,14,21,15,141,119124,0.00118364057620631
"109","AL TALH",1,1,1,1,1,1,3,1,1,11,9404,0.00116971501488728
"110","IBB",18,21,22,16,21,14,18,19,18,167,143641,0.0011626207002179
"111","AL ABDIYAH",1,2,3,0,2,1,1,2,3,15,13000,0.00115384615384615
"112","TUR AL BAHAH",6,3,8,7,9,6,5,4,5,53,47426,0.00111753046851938
"113","AL MASHANNAH",15,18,12,11,12,10,12,12,11,113,101148,0.0011171748329181
"114","AL HAWAK",18,11,22,26,24,18,20,20,11,170,155369,0.00109416936454505
"115","QAFL SHAMER",9,5,6,4,6,8,3,8,6,55,50439,0.00109042605920022
"116","AL MAHWAIT",10,5,5,9,3,8,6,4,5,55,50526,0.0010885484700946
"117","AFLAH AL YAMAN",8,0,6,5,5,5,7,4,2,42,38874,0.00108041364408088
"118","BILAD AR RUS",6,4,4,4,4,3,6,1,0,32,31259,0.0010237051729102
"119","BANI AL AWAM",7,10,5,5,5,8,5,5,3,53,52222,0.0010148979357359
"120","AL HADA",15,14,17,16,18,16,14,18,17,145,143100,0.00101327742837177
"121","AR RYASHYYAH",4,1,3,3,3,5,0,2,2,23,22842,0.0010069170825672
"122","AL MASLUB",2,0,1,1,1,2,2,1,0,10,9938,0.00100623867981485
"123","AL KHALQ",1,0,2,1,2,1,3,3,1,14,14123,0.000991290802237485
"124","HUSWAIN",2,0,1,1,1,2,1,2,1,11,11130,0.000988319856244385
"125","AL DHIHAR",22,12,15,23,17,18,14,18,13,152,154399,0.000984462334600613
"126","AL MAHABISHAH",6,4,4,7,9,6,5,5,4,50,50865,0.000982994200334218
"127","MA'AIN",38,18,27,30,33,38,19,28,28,259,265469,0.000975631806350271
"128","AL HAYMAH AL KHARIJIYAH",9,4,8,5,8,9,7,4,3,57,58454,0.00097512573989804
"129","HAWF",0,0,2,1,1,0,0,1,0,5,5143,0.000972195216799533
"130","AL MAHFAD",3,0,5,3,4,5,3,3,0,26,26870,0.00096762188314105
"131","ASH SHAHIL",2,4,4,4,3,3,3,4,4,31,32548,0.00095243947400762
"132","AL AZARIQ",4,2,4,6,5,4,4,4,2,35,37295,0.000938463601018903
"133","ASH SHIHR",10,0,7,11,9,9,9,8,5,68,73482,0.000925396695789445
"134","RAKHYAH",1,0,1,1,1,1,2,0,1,8,8715,0.000917957544463569
"135","AD DAHI",4,5,6,6,7,5,5,6,6,50,54503,0.000917380694640662
"136","DHAR",1,1,1,1,1,1,1,1,1,9,9927,0.000906618313689937
"137","ASH SHAGHADIRAH",5,4,5,5,7,3,5,5,5,44,48746,0.000902638165182784
"138","ARHAB",8,9,9,11,11,11,9,8,5,81,90038,0.00089962016037673
"139","AT TAHRIR",9,4,6,5,8,2,5,9,11,59,66898,0.000881939669347365
"140","MAZHAR",8,6,5,5,4,8,7,7,7,57,64661,0.000881520545614822
"141","JIBLAH",10,13,11,11,9,12,10,12,10,98,112481,0.000871258256950063
"142","MAWIYAH",15,7,17,18,16,14,9,9,8,113,129765,0.000870804916579972
"143","AZ'ZAL",8,10,12,8,8,8,15,18,13,100,115054,0.000869157091452709
"144","NIHM",4,5,4,5,6,9,2,1,0,36,41502,0.000867428075755385
"145","AL MUSAYMIR",2,4,2,2,2,2,2,2,5,23,26558,0.00086602906845395
"146","AL BURAIQEH",8,5,7,4,6,7,4,6,7,54,62405,0.000865315279224421
"147","AS SADDAH",7,8,8,8,8,10,8,8,6,71,82502,0.000860585197934596
"148","CRAITER",6,8,8,6,10,4,9,8,7,66,76723,0.000860237477679444
"149","MASWARAH",0,1,0,0,0,1,0,2,2,6,7038,0.000852514919011083
"150","SAYUN",7,5,11,13,12,9,9,13,8,87,102409,0.000849534708863479
"151","SHU'AUB",27,12,19,20,19,27,15,15,25,179,213939,0.000836687093049888
"152","AS SABAIN",36,20,28,35,33,36,20,29,18,255,311203,0.00081940084125153
"153","KUHLAN AFFAR",3,3,3,4,3,3,4,5,5,33,40333,0.00081818858007091
"154","ASH SHA'IR",4,3,4,4,3,2,3,2,7,32,39805,0.000803919105639995
"155","AL QAHIRAH",14,13,17,19,9,17,13,10,8,120,149394,0.000803245110245391
"156","AL MUDHAFFAR",17,7,11,18,17,11,16,12,8,117,146259,0.000799950772260169
"157","DAR SAD",6,3,8,8,9,7,8,7,7,63,79712,0.000790345242874348
"158","MILHAN",7,6,9,9,8,7,7,8,9,70,89224,0.000784542275620909
"159","WUSAB AL ALI",16,7,17,16,14,13,17,16,11,127,164223,0.000773338691900647
